block	trialType	trial	signal	response	ssd	rt
1	practiceGoTrials	1	0	1	NaN	0.8157942070029094
1	practiceGoTrials	2	0	1	NaN	0.8338698349980405
1	practiceGoTrials	3	0	1	NaN	0.8510942380016786
1	practiceGoTrials	4	0	1	NaN	0.9409021050014417
1	practiceGoTrials	5	0	1	NaN	0.7484396750005544
2	practiceMixedTrials	1	1	0	0.5	NaN
2	practiceMixedTrials	2	0	1	NaN	0.786622976003855
2	practiceMixedTrials	3	1	1	0.525	0.7726822719996562
2	practiceMixedTrials	4	0	1	NaN	0.9364755419956055
2	practiceMixedTrials	5	1	0	0.5	NaN
2	practiceMixedTrials	6	1	0	0.525	NaN
2	practiceMixedTrials	7	0	1	NaN	0.8212974039997789
2	practiceMixedTrials	8	0	1	NaN	0.8843312180033536
2	practiceMixedTrials	9	0	1	NaN	0.8235668229972362
2	practiceMixedTrials	10	1	0	0.55	NaN
3	testBlocks	1	1	0	0.5	NaN
3	testBlocks	2	1	0	0.525	NaN
3	testBlocks	3	1	0	0.55	NaN
3	testBlocks	4	1	0	0.5750000000000001	NaN
3	testBlocks	5	0	1	NaN	0.9538266630042926
3	testBlocks	6	1	1	0.6000000000000001	0.8169551499959198
3	testBlocks	7	0	1	NaN	0.8806206869994639
3	testBlocks	8	1	1	0.5750000000000001	0.8048936339982902
3	testBlocks	9	1	0	0.55	NaN
3	testBlocks	10	1	0	0.5750000000000001	NaN
3	testBlocks	11	1	0	0.6000000000000001	NaN
3	testBlocks	12	1	1	0.6250000000000001	0.8744820879946928
3	testBlocks	13	0	1	NaN	0.8623885190027067
3	testBlocks	14	1	0	0.6000000000000001	NaN
3	testBlocks	15	0	1	NaN	0.8985611679963768
3	testBlocks	16	1	0	0.6250000000000001	NaN
3	testBlocks	17	1	0	0.6500000000000001	NaN
3	testBlocks	18	0	1	NaN	0.9731289780029329
3	testBlocks	19	1	0	0.6750000000000002	NaN
3	testBlocks	20	1	1	0.7000000000000002	0.8858111350054969
3	testBlocks	21	0	1	NaN	0.8940394000019296
3	testBlocks	22	1	0	0.6750000000000002	NaN
3	testBlocks	23	0	1	NaN	0.9784992939967196
3	testBlocks	24	1	1	0.7000000000000002	0.8976374519988894
3	testBlocks	25	1	0	0.6750000000000002	NaN
3	testBlocks	26	1	0	0.7000000000000002	NaN
3	testBlocks	27	1	0	0.7250000000000002	NaN
3	testBlocks	28	1	1	0.7500000000000002	0.9792334459998528
3	testBlocks	29	1	0	0.7250000000000002	NaN
3	testBlocks	30	1	0	0.7500000000000002	NaN
3	testBlocks	31	1	0	0.7750000000000002	NaN
3	testBlocks	32	0	0	NaN	NaN
3	testBlocks	33	1	0	0.775	NaN
3	testBlocks	34	0	0	NaN	NaN
3	testBlocks	35	1	0	0.775	NaN
3	testBlocks	36	1	0	0.775	NaN
3	testBlocks	37	1	0	0.775	NaN
3	testBlocks	38	1	0	0.775	NaN
3	testBlocks	39	1	0	0.775	NaN
3	testBlocks	40	1	0	0.775	NaN
3	testBlocks	41	1	0	0.775	NaN
3	testBlocks	42	0	0	NaN	NaN
3	testBlocks	43	1	0	0.775	NaN
3	testBlocks	44	0	0	NaN	NaN
3	testBlocks	45	1	0	0.775	NaN
3	testBlocks	46	1	0	0.775	NaN
3	testBlocks	47	1	1	0.775	0.9178389750013594
3	testBlocks	48	1	0	0.75	NaN
3	testBlocks	49	1	0	0.775	NaN
3	testBlocks	50	1	0	0.775	NaN
3	testBlocks	51	1	1	0.775	0.9749448310030857
3	testBlocks	52	1	0	0.75	NaN
3	testBlocks	53	0	0	NaN	NaN
3	testBlocks	54	1	0	0.775	NaN
3	testBlocks	55	1	0	0.775	NaN
3	testBlocks	56	1	0	0.775	NaN
3	testBlocks	57	0	0	NaN	NaN
3	testBlocks	58	0	0	NaN	NaN
3	testBlocks	59	1	1	0.775	0.8448427499970421
3	testBlocks	60	1	1	0.75	0.8423933669982944
3	testBlocks	61	1	1	0.725	0.8764997029938968
3	testBlocks	62	0	1	NaN	0.9520406299998285
3	testBlocks	63	0	1	NaN	0.8238120940004592
3	testBlocks	64	1	1	0.7	0.850535049001337
4	testBlocks	1	1	1	0.6749999999999999	0.8771166809965507
4	testBlocks	2	1	1	0.6499999999999999	0.8699968740038457
4	testBlocks	3	1	0	0.6249999999999999	NaN
4	testBlocks	4	1	0	0.6499999999999999	NaN
4	testBlocks	5	1	0	0.6749999999999999	NaN
4	testBlocks	6	1	1	0.7	0.8039756819998729
4	testBlocks	7	0	1	NaN	0.9419761180033674
4	testBlocks	8	0	1	NaN	0.8943972370034317
4	testBlocks	9	1	1	0.6749999999999999	0.9007096399946022
4	testBlocks	10	1	0	0.6499999999999999	NaN
4	testBlocks	11	1	1	0.6749999999999999	0.8779232090018922
4	testBlocks	12	1	1	0.6499999999999999	0.9392994779991568
4	testBlocks	13	1	0	0.6249999999999999	NaN
4	testBlocks	14	1	0	0.6499999999999999	NaN
4	testBlocks	15	0	1	NaN	0.9031550419967971
4	testBlocks	16	1	0	0.6749999999999999	NaN
4	testBlocks	17	1	1	0.7	0.9319795960036572
4	testBlocks	18	1	0	0.6749999999999999	NaN
4	testBlocks	19	0	1	NaN	0.985554785002023
4	testBlocks	20	1	1	0.7	0.8602260760017089
4	testBlocks	21	1	1	0.6749999999999999	0.8583966340011102
4	testBlocks	22	1	0	0.6499999999999999	NaN
4	testBlocks	23	1	0	0.6749999999999999	NaN
4	testBlocks	24	1	0	0.7	NaN
4	testBlocks	25	1	1	0.725	0.8329117949979263
4	testBlocks	26	0	1	NaN	0.8386213170015253
4	testBlocks	27	1	1	0.7	0.8375179450013093
4	testBlocks	28	1	1	0.6749999999999999	0.8027376460013329
4	testBlocks	29	1	1	0.6499999999999999	0.8497213119990192
4	testBlocks	30	0	1	NaN	0.9234307629958494
4	testBlocks	31	1	1	0.6249999999999999	0.8165928529997473
4	testBlocks	32	1	0	0.5999999999999999	NaN
4	testBlocks	33	1	0	0.6249999999999999	NaN
4	testBlocks	34	1	0	0.6499999999999999	NaN
4	testBlocks	35	0	0	NaN	NaN
4	testBlocks	36	1	0	0.6749999999999999	NaN
4	testBlocks	37	1	0	0.7	NaN
4	testBlocks	38	0	1	NaN	0.9549870629998622
4	testBlocks	39	1	1	0.725	0.8476540499978
4	testBlocks	40	1	1	0.7	0.8622791520028841
4	testBlocks	41	1	1	0.6749999999999999	0.9059517900022911
4	testBlocks	42	1	0	0.6499999999999999	NaN
4	testBlocks	43	1	0	0.6749999999999999	NaN
4	testBlocks	44	0	1	NaN	0.91072131999681
4	testBlocks	45	1	1	0.7	0.968238035995455
4	testBlocks	46	0	0	NaN	NaN
4	testBlocks	47	1	1	0.6749999999999999	0.8875868749964866
4	testBlocks	48	0	0	NaN	NaN
4	testBlocks	49	1	1	0.6499999999999999	0.8246567729947856
4	testBlocks	50	1	0	0.6249999999999999	NaN
4	testBlocks	51	1	0	0.6499999999999999	NaN
4	testBlocks	52	1	1	0.6749999999999999	0.8981505780029693
4	testBlocks	53	1	0	0.6499999999999999	NaN
4	testBlocks	54	0	0	NaN	NaN
4	testBlocks	55	1	0	0.6749999999999999	NaN
4	testBlocks	56	0	0	NaN	NaN
4	testBlocks	57	0	1	NaN	1.000287982998998
4	testBlocks	58	0	1	NaN	0.9267791910024243
4	testBlocks	59	1	1	0.7	0.8185360339994077
4	testBlocks	60	1	1	0.6749999999999999	0.9591756850059028
4	testBlocks	61	0	1	NaN	0.8776252519965055
4	testBlocks	62	1	0	0.6499999999999999	NaN
4	testBlocks	63	1	0	0.6749999999999999	NaN
4	testBlocks	64	1	0	0.7	NaN
5	testBlocks	1	0	0	NaN	NaN
5	testBlocks	2	1	0	0.725	NaN
5	testBlocks	3	1	0	0.75	NaN
5	testBlocks	4	1	0	0.775	NaN
5	testBlocks	5	1	0	0.775	NaN
5	testBlocks	6	1	0	0.775	NaN
