Signal,Block.thisRepN,Block.thisTrialN,Block.thisN,Block.thisIndex,practiceGoTrials.thisRepN,practiceGoTrials.thisTrialN,practiceGoTrials.thisN,practiceGoTrials.thisIndex,practiceMixedTrials.thisRepN,practiceMixedTrials.thisTrialN,practiceMixedTrials.thisN,practiceMixedTrials.thisIndex,testBlocks.thisRepN,testBlocks.thisTrialN,testBlocks.thisN,testBlocks.thisIndex,block,trialType,trial,signal,response,ssd,rt,Count down,Trial by trial feedback,Step size (s),Lowest SSD (s),Highest SSD (s),Total bar height (in cm),Number of Test Blocks,Spaceship,Full Screen,
0,0,0,0,0,0,0,0,2,,,,,,,,,1,practiceGoTrials,1,0,1,NaN,0.8157942070029094,True,True,0.025,0.05,0.775,15,3,False,True,
0,0,0,0,0,0,1,1,1,,,,,,,,,1,practiceGoTrials,2,0,1,NaN,0.8338698349980405,True,True,0.025,0.05,0.775,15,3,False,True,
0,0,0,0,0,0,2,2,3,,,,,,,,,1,practiceGoTrials,3,0,1,NaN,0.8510942380016786,True,True,0.025,0.05,0.775,15,3,False,True,
0,0,0,0,0,0,3,3,4,,,,,,,,,1,practiceGoTrials,4,0,1,NaN,0.9409021050014417,True,True,0.025,0.05,0.775,15,3,False,True,
0,0,0,0,0,0,4,4,0,,,,,,,,,1,practiceGoTrials,5,0,1,NaN,0.7484396750005544,True,True,0.025,0.05,0.775,15,3,False,True,
1,1,0,1,0,,,,,0,0,0,1,,,,,2,practiceMixedTrials,1,1,0,0.5,NaN,True,True,0.025,0.05,0.775,15,3,False,True,
0,1,0,1,0,,,,,0,1,1,7,,,,,2,practiceMixedTrials,2,0,1,NaN,0.786622976003855,True,True,0.025,0.05,0.775,15,3,False,True,
1,1,0,1,0,,,,,0,2,2,0,,,,,2,practiceMixedTrials,3,1,1,0.525,0.7726822719996562,True,True,0.025,0.05,0.775,15,3,False,True,
0,1,0,1,0,,,,,0,3,3,5,,,,,2,practiceMixedTrials,4,0,1,NaN,0.9364755419956055,True,True,0.025,0.05,0.775,15,3,False,True,
1,1,0,1,0,,,,,0,4,4,2,,,,,2,practiceMixedTrials,5,1,0,0.5,NaN,True,True,0.025,0.05,0.775,15,3,False,True,
1,1,0,1,0,,,,,0,5,5,3,,,,,2,practiceMixedTrials,6,1,0,0.525,NaN,True,True,0.025,0.05,0.775,15,3,False,True,
0,1,0,1,0,,,,,0,6,6,8,,,,,2,practiceMixedTrials,7,0,1,NaN,0.8212974039997789,True,True,0.025,0.05,0.775,15,3,False,True,
0,1,0,1,0,,,,,0,7,7,9,,,,,2,practiceMixedTrials,8,0,1,NaN,0.8843312180033536,True,True,0.025,0.05,0.775,15,3,False,True,
0,1,0,1,0,,,,,0,8,8,6,,,,,2,practiceMixedTrials,9,0,1,NaN,0.8235668229972362,True,True,0.025,0.05,0.775,15,3,False,True,
1,1,0,1,0,,,,,0,9,9,4,,,,,2,practiceMixedTrials,10,1,0,0.55,NaN,True,True,0.025,0.05,0.775,15,3,False,True,
